country,total_games,total_wins,win_percent
Saint Helena,4,0,0.0
Saint Kitts and Nevis,177,71,40.11299435028249
Saint Lucia,197,65,32.99492385786802
Saint Martin,42,12,28.57142857142857
Saint Vincent and the Grenadines,141,62,43.97163120567376
Samoa,51,16,31.372549019607842
San Marino,161,1,0.6211180124223602
Sark,4,0,0.0
Saudi Arabia,607,288,47.44645799011532
Scotland,775,367,47.35483870967742
Senegal,527,231,43.833017077798864
Serbia,273,123,45.05494505494506
Seychelles,111,13,11.711711711711711
Shetland,51,18,35.294117647058826
Sierra Leone,249,77,30.923694779116467
Silesia,8,3,37.5
Singapore,550,166,30.181818181818183
Sint Maarten,33,10,30.303030303030305
Slovakia,289,118,40.830449826989614
Slovenia,245,84,34.285714285714285
Solomon Islands,170,72,42.35294117647059
Somalia,105,9,8.571428571428571
Somaliland,5,2,40.0
South Africa,398,174,43.71859296482412
South Korea,854,449,52.57611241217799
South Ossetia,14,4,28.57142857142857
South Sudan,39,8,20.51282051282051
Spain,692,404,58.38150289017341
Sri Lanka,194,39,20.103092783505154
St Vincent and the Grenadines,3,1,33.33333333333333
St. Pierre & Miquelon,7,0,0.0
Sudan,393,131,33.33333333333333
Suriname,346,151,43.641618497109825
Surrey,1,1,100.0
Sweden,1014,496,48.91518737672584
Switzerland,795,278,34.9685534591195
Syria,399,145,36.340852130325814
Székely Land,23,6,26.08695652173913
Sápmi,26,11,42.30769230769231
São Tomé and Príncipe,42,8,19.047619047619047
Tahiti,210,109,51.90476190476191
Tajikistan,138,55,39.85507246376812
Tamil Eelam,17,6,35.294117647058826
Tanzania,527,145,27.514231499051235
Thailand,634,235,37.06624605678234
Tibet,13,0,0.0
Timor-Leste,7,1,14.285714285714285
Togo,382,118,30.89005235602094
Tonga,56,14,25.0
Trinidad and Tobago,662,289,43.65558912386707
Tunisia,579,241,41.62348877374784
Turkey,565,219,38.76106194690265
Turkmenistan,133,49,36.84210526315789
Turks and Caicos Islands,25,5,20.0
Tuvalu,34,5,14.705882352941178
Two Sicilies,4,1,25.0
Uganda,622,265,42.60450160771704
Ukraine,265,122,46.0377358490566
United Arab Emirates,507,204,40.23668639053255
United Koreans in Japan,11,2,18.181818181818183
United States,684,291,42.54385964912281
United States Virgin Islands,52,7,13.461538461538462
Uruguay,882,381,43.197278911564624
Uzbekistan,269,116,43.12267657992565
Vanuatu,174,56,32.18390804597701
Vatican City,6,0,0.0
Venezuela,381,92,24.146981627296586
Vietnam,197,79,40.10152284263959
Vietnam Republic,153,66,43.13725490196079
Wales,652,204,31.28834355828221
Wallis Islands and Futuna,24,5,20.833333333333336
Western Armenia,16,5,31.25
Western Australia,29,9,31.03448275862069
Western Isles,28,11,39.285714285714285
Western Sahara,5,2,40.0
Yemen,218,44,20.18348623853211
Yemen DPR,24,5,20.833333333333336
Ynys Môn,61,32,52.459016393442624
Yorkshire,7,5,71.42857142857143
Yugoslavia,480,223,46.458333333333336
Zambia,715,327,45.73426573426573
Zanzibar,205,41,20.0
Zimbabwe,452,187,41.3716814159292
Åland Islands,46,21,45.65217391304348
